corner,vdd,temp,vcont,s0,s1,freq,current
sf,1.8,27.0,1.6,1,1,257500000,0.0001791935253025174370640733982
sf,1.8,27.0,1.6,1,1,260000000,0.0001799951262928176795580110497
sf,1.8,27.0,1.2,1,1,235000000,0.0001669396821126971825704357391
fs,1.8,27.0,1.6,1,1,202500000,0.0002236935382241443963900902477
fs,1.8,27.0,1.6,1,1,180000000,0.0002106784593129421764455888603
tt,1.8,27.0,1.2,1,1,237500000,0.0001923762839925751856203594910
sf,1.8,27.0,1.2,0,1,172500000,0.0001498810690893727656808579786
tt,1.8,27.0,1.6,1,1,262500000,0.0002080549290265743356416089598
tt,1.8,27.0,1.6,1,1,257500000,0.0002026778967725306867328316792
ss,1.8,27.0,1.3,0,0,100000000,0.0001250762951937901552461188470
ss,1.8,27.0,1.3,0,0,100000000,0.0001269862040132996675083122922
ff,1.8,27.0,1.2,1,1,330000000,0.0002541873681053473663158421039
ff,1.8,27.0,1.6,1,1,367500000,0.0002740878934346391340216494588
ff,1.8,27.0,1.2,1,1,337500000,0.0002542449263855403614909627259
ss,1.8,27.0,1.7,0,0,110000000,0.0001353851261299217519562010950
ss,1.8,27.0,1.7,0,0,110000000,0.0001364401596093347666308342291
ff,1.8,27.0,1.6,1,1,355000000,0.0002712524318241793955151121222
fs,1.8,27.0,1.3,0,0,130000000,0.0001664944686619834504137396565
fs,1.8,27.0,1.3,0,0,130000000,0.0001737915434209144771380715482
tt,1.8,27.0,1.3,0,0,130000000,0.0001617135145456113597160070998
sf,1.8,27.0,1.7,0,0,127500000,0.0001399300512374190645233869153
sf,1.8,27.0,1.7,0,0,127500000,0.0001426700930283492912677183070
sf,1.8,27.0,1.3,0,0,120000000,0.0001342787763373915652108697283
sf,1.8,27.0,1.2,1,0,137500000,0.0001369980228242793930151746206
fs,1.8,27.0,1.7,0,0,147500000,0.0001990073213278418039549011275
fs,1.8,27.0,1.7,0,0,147500000,0.0001970414919059273518162045949
tt,1.8,27.0,1.3,0,0,130000000,0.0001563184577286567835804104897
tt,1.8,27.0,1.7,0,0,140000000,0.0001793908687615309617259568511
tt,1.8,27.0,1.7,0,0,142500000,0.0001723952457539811504712382190
ss,1.8,27.0,1.3,0,1,140000000,0.0001342454356140596485087872803
ss,1.8,27.0,1.3,0,1,137500000,0.0001332955778753031174220644484
ss,1.8,27.0,1.7,0,1,152500000,0.0001492081554204144896377590560
ff,1.8,27.0,1.3,0,0,160000000,0.0001940888926234594135146621334
ff,1.8,27.0,1.7,0,0,172500000,0.0002086896248008799780005499863
