corner,vdd,temp,vcont,freq,current
fs,1.8,27.0,1.5,210000000,0.0001842046490006999825004374891
tt,1.8,27.0,1.1,162500000,0.0001425856517271818204544886378
tt,1.8,27.0,1.1,162500000,0.0001428525446156346091347716307
ff,1.8,27.0,1.5,245000000,0.0002069226140708982275443113922
ff,1.8,27.0,1.5,242500000,0.0002035081423777405564860878478
sf,1.8,27.0,1.2,172500000,0.0001315982870471988200294992625
fs,1.8,27.0,1.2,175000000,0.0001570183743204419889502762431
sf,1.8,27.0,1.2,175000000,0.0001300563328105297367565810855
fs,1.8,27.0,1.2,172500000,0.0001604044768594035149121271968
tt,1.8,27.0,1.6,210000000,0.0001650433118424039399015024624
sf,1.8,27.0,1.6,192500000,0.0001366406696655333616659583510
sf,1.8,27.0,1.6,190000000,0.0001382316905681107972300692483
ss,1.8,27.0,1.6,170000000,0.0001345124916768580785480362991
ss,1.8,27.0,1.6,170000000,0.0001296749633323916902077448064
tt,1.8,27.0,1.6,207500000,0.0001705830644709132271693207670
ss,1.8,27.0,1.2,145000000,0.0001198953544973875653108672283
ss,1.8,27.0,1.2,145000000,0.0001191520482067698307542311442
fs,1.8,27.0,1.6,215000000,0.0001954866470331741706457338567
tt,1.8,27.0,1.2,180000000,0.0001520953411431631709207269818
ff,1.8,27.0,1.2,217500000,0.0001847560323690907727306817330
fs,1.8,27.0,1.6,215000000,0.0001928127014568385790355241119
ff,1.8,27.0,1.2,217500000,0.0001926957741031474213144671383
tt,1.8,27.0,1.2,180000000,0.0001532674709930751731206719832
ff,1.8,27.0,1.6,247500000,0.0001991723829851503712407189820
ff,1.8,27.0,1.6,250000000,0.0002057563213255668608284792880
sf,1.8,27.0,1.3,180000000,0.0001315031918076298092547686308
fs,1.8,27.0,1.3,190000000,0.0001712580711949201269968250794
sf,1.8,27.0,1.3,180000000,0.0001319766268135296617584560386
fs,1.8,27.0,1.3,190000000,0.0001708607054806129846753831154
ss,1.8,27.0,1.7,175000000,0.0001307487808000549986250343741
ss,1.8,27.0,1.7,172500000,0.0001385406481667958301042473938
sf,1.8,27.0,1.7,192500000,0.0001402594497580060498487537812
tt,1.8,27.0,1.7,212500000,0.0001684338854229394265143371416
sf,1.8,27.0,1.7,192500000,0.0001388412262688932776680582985
tt,1.8,27.0,1.7,212500000,0.0001715628826493087672808179796
ss,1.8,27.0,1.3,155000000,0.0001229471142645133871653208670
ss,1.8,27.0,1.3,155000000,0.0001240090181120721981950451239
fs,1.8,27.0,1.7,220000000,0.0001931253331814704632384190395
tt,1.8,27.0,1.3,192500000,0.0001630595218280292992675183120
ff,1.8,27.0,1.3,230000000,0.0001946631632616184595385115372
fs,1.8,27.0,1.7,217500000,0.0001980962383600409989750256244
ff,1.8,27.0,1.3,230000000,0.0001917516158683282917927051824
tt,1.8,27.0,1.3,192500000,0.0001585379063763155921101972451
ff,1.8,27.0,1.7,252500000,0.0002099359262681182970425739357
ff,1.8,27.0,1.7,252500000,0.0002047445699498262543436414090
sf,1.8,27.0,1.4,185000000,0.0001386623449121521961950951226
sf,1.8,27.0,1.4,185000000,0.0001361690604173395665108372291
fs,1.8,27.0,1.4,202500000,0.0001781609665166370840728981775
ss,1.8,27.0,1.8,175000000,0.0001335309028320791980200494988
tt,1.8,27.0,1.8,212500000,0.0001738122610907227319317017075
sf,1.8,27.0,1.8,195000000,0.0001390146285517612059698507537
fs,1.8,27.0,1.4,200000000,0.0001797662196942076448088797780
tt,1.8,27.0,1.8,215000000,0.0001692333735381615459613509662
ss,1.8,27.0,1.8,175000000,0.0001379414217219569510762230944
ss,1.8,27.0,1.4,162500000,0.0001281911788230544236394090148
ss,1.8,27.0,1.4,160000000,0.0001307778642686182845428864278
sf,1.8,27.0,1.8,195000000,0.0001433487097951926201844953876
tt,1.8,27.0,1.4,200000000,0.0001623695945750356241093972651
fs,1.8,27.0,1.8,222500000,0.0001977849760317992050198745031
fs,1.8,27.0,1.8,222500000,0.0001965410840490987725306867328
ff,1.8,27.0,1.4,240000000,0.0001944608910174995625109372266
tt,1.8,27.0,1.4,200000000,0.0001617539869174520636984075398
ff,1.8,27.0,1.4,237500000,0.0001979925831506962325941851454
ff,1.8,27.0,1.8,252500000,0.0002097998123513162170945726357
ff,1.8,27.0,1.8,252500000,0.0002103508202432189195270118247
sf,1.8,27.0,1.5,187500000,0.0001403586660803729906752331192
sf,1.8,27.0,1.5,190000000,0.0001361522315553861153471163221
sf,1.8,27.0,1.1,162500000,0.0001243479588968025799355016125
fs,1.8,27.0,1.5,210000000,0.0001898306640240743981400464988
ss,1.8,27.0,1.1,127500000,0.0001097452665678608034799130022
ss,1.8,27.0,1.1,127500000,0.0001091693601187120321991950201
